user_id,entry_date,segment,device,region,age_group,period,month,stage1_date,stage2_date,stage3_date,stage4_date,stage5_date,conversion_date,converted,exit_stage,reached_stage2,reached_stage3,reached_stage4,reached_stage5
U001000,2024-06-12,Paid_Search,Tablet,West,35-44,Post-Intervention,2024-06,2024-06-12,2024-06-12,2024-06-13,2024-06-15,,,0,Stage4,1,1,1,0
U001001,2024-03-11,Referral,Desktop,North,55+,Pre-Intervention,2024-03,2024-03-11,,,,,,0,Stage1,0,0,0,0
U001002,2024-03-03,Organic,Mobile,North,25-34,Pre-Intervention,2024-03,2024-03-03,2024-03-03,2024-03-04,2024-03-06,2024-03-07,2024-03-09,1,Converted,1,1,1,1
U001003,2024-05-19,Organic,Mobile,East,45-54,Post-Intervention,2024-05,2024-05-19,2024-05-19,2024-05-22,,,,0,Stage3,1,1,0,0
U001004,2024-04-18,Organic,Desktop,North,18-24,Post-Intervention,2024-04,2024-04-18,,,,,,0,Stage1,0,0,0,0
U001005,2024-01-09,Email,Desktop,South,18-24,Pre-Intervention,2024-01,2024-01-09,2024-01-09,2024-01-10,2024-01-10,2024-01-12,2024-01-14,1,Converted,1,1,1,1
U001006,2024-06-03,Email,Mobile,West,25-34,Post-Intervention,2024-06,2024-06-03,2024-06-03,,,,,0,Stage2,1,0,0,0
U001007,2024-05-23,Organic,Tablet,West,55+,Post-Intervention,2024-05,2024-05-23,,,,,,0,Stage1,0,0,0,0
U001008,2024-02-20,Referral,Desktop,North,18-24,Pre-Intervention,2024-02,2024-02-20,2024-02-22,2024-02-25,2024-02-27,2024-03-02,2024-03-02,1,Converted,1,1,1,1
U001009,2024-04-24,Paid_Search,Mobile,East,18-24,Post-Intervention,2024-04,2024-04-24,,,,,,0,Stage1,0,0,0,0
U001010,2024-05-30,Organic,Tablet,West,18-24,Post-Intervention,2024-05,2024-05-30,2024-05-31,,,,,0,Stage2,1,0,0,0
U001011,2024-01-02,Referral,Desktop,West,18-24,Pre-Intervention,2024-01,2024-01-02,2024-01-02,2024-01-05,,,,0,Stage3,1,1,0,0
U001012,2024-04-18,Referral,Mobile,North,25-34,Post-Intervention,2024-04,2024-04-18,2024-04-19,,,,,0,Stage2,1,0,0,0
U001013,2024-03-12,Referral,Desktop,East,18-24,Pre-Intervention,2024-03,2024-03-12,2024-03-12,,,,,0,Stage2,1,0,0,0
U001014,2024-02-25,Referral,Desktop,East,35-44,Pre-Intervention,2024-02,2024-02-25,2024-02-26,2024-02-27,2024-02-27,2024-03-02,2024-03-02,1,Converted,1,1,1,1
U001015,2024-04-01,Paid_Search,Mobile,Central,25-34,Post-Intervention,2024-04,2024-04-01,2024-04-02,,,,,0,Stage2,1,0,0,0
U001016,2024-06-03,Organic,Mobile,South,18-24,Post-Intervention,2024-06,2024-06-03,,,,,,0,Stage1,0,0,0,0
U001017,2024-03-08,Social,Desktop,Central,45-54,Pre-Intervention,2024-03,2024-03-08,2024-03-08,,,,,0,Stage2,1,0,0,0
U001018,2024-04-27,Paid_Search,Desktop,Central,25-34,Post-Intervention,2024-04,2024-04-27,2024-04-29,2024-04-30,2024-05-01,,,0,Stage4,1,1,1,0
U001019,2024-01-21,Social,Mobile,East,25-34,Pre-Intervention,2024-01,2024-01-21,2024-01-23,2024-01-25,2024-01-27,,,0,Stage4,1,1,1,0
U001020,2024-06-07,Paid_Search,Mobile,West,25-34,Post-Intervention,2024-06,2024-06-07,,,,,,0,Stage1,0,0,0,0
U001021,2024-04-02,Email,Mobile,East,25-34,Post-Intervention,2024-04,2024-04-02,2024-04-04,2024-04-05,,,,0,Stage3,1,1,0,0
U001022,2024-06-29,Paid_Search,Mobile,South,55+,Post-Intervention,2024-06,2024-06-29,2024-06-29,2024-06-30,2024-07-02,,,0,Stage4,1,1,1,0
U001023,2024-02-28,Organic,Desktop,West,25-34,Pre-Intervention,2024-02,2024-02-28,,,,,,0,Stage1,0,0,0,0
U001024,2024-03-15,Paid_Search,Desktop,West,35-44,Pre-Intervention,2024-03,2024-03-15,2024-03-15,,,,,0,Stage2,1,0,0,0
U001025,2024-02-29,Paid_Search,Mobile,North,35-44,Pre-Intervention,2024-02,2024-02-29,,,,,,0,Stage1,0,0,0,0
U001026,2024-01-26,Organic,Mobile,South,35-44,Pre-Intervention,2024-01,2024-01-26,2024-01-27,,,,,0,Stage2,1,0,0,0
U001027,2024-03-12,Paid_Search,Tablet,North,25-34,Pre-Intervention,2024-03,2024-03-12,2024-03-13,,,,,0,Stage2,1,0,0,0
U001028,2024-06-11,Social,Mobile,West,45-54,Post-Intervention,2024-06,2024-06-11,2024-06-12,,,,,0,Stage2,1,0,0,0
U001029,2024-02-11,Organic,Mobile,Central,55+,Pre-Intervention,2024-02,2024-02-11,2024-02-12,2024-02-14,2024-02-14,,,0,Stage4,1,1,1,0
U001030,2024-06-20,Social,Desktop,West,35-44,Post-Intervention,2024-06,2024-06-20,2024-06-21,2024-06-24,,,,0,Stage3,1,1,0,0
U001031,2024-06-23,Referral,Mobile,North,35-44,Post-Intervention,2024-06,2024-06-23,2024-06-25,2024-06-26,2024-06-28,,,0,Stage4,1,1,1,0
U001032,2024-06-11,Referral,Mobile,West,25-34,Post-Intervention,2024-06,2024-06-11,2024-06-11,,,,,0,Stage2,1,0,0,0
U001033,2024-05-16,Referral,Desktop,West,35-44,Post-Intervention,2024-05,2024-05-16,2024-05-18,2024-05-19,2024-05-19,2024-05-23,,0,Stage5,1,1,1,1
U001034,2024-04-07,Paid_Search,Desktop,West,45-54,Post-Intervention,2024-04,2024-04-07,2024-04-08,,,,,0,Stage2,1,0,0,0
U001035,2024-06-12,Paid_Search,Mobile,West,25-34,Post-Intervention,2024-06,2024-06-12,2024-06-14,,,,,0,Stage2,1,0,0,0
U001036,2024-05-22,Organic,Tablet,Central,55+,Post-Intervention,2024-05,2024-05-22,2024-05-22,2024-05-25,,,,0,Stage3,1,1,0,0
U001037,2024-03-24,Paid_Search,Tablet,Central,45-54,Pre-Intervention,2024-03,2024-03-24,2024-03-24,2024-03-25,,,,0,Stage3,1,1,0,0
U001038,2024-01-09,Paid_Search,Mobile,East,55+,Pre-Intervention,2024-01,2024-01-09,,,,,,0,Stage1,0,0,0,0
U001039,2024-03-21,Referral,Mobile,East,55+,Pre-Intervention,2024-03,2024-03-21,2024-03-22,2024-03-24,,,,0,Stage3,1,1,0,0
U001040,2024-01-17,Referral,Desktop,West,25-34,Pre-Intervention,2024-01,2024-01-17,2024-01-17,,,,,0,Stage2,1,0,0,0
U001041,2024-05-25,Social,Desktop,Central,35-44,Post-Intervention,2024-05,2024-05-25,2024-05-27,,,,,0,Stage2,1,0,0,0
U001042,2024-03-21,Referral,Desktop,West,45-54,Pre-Intervention,2024-03,2024-03-21,2024-03-21,2024-03-24,2024-03-25,2024-03-29,2024-03-31,1,Converted,1,1,1,1
U001043,2024-04-27,Paid_Search,Mobile,South,35-44,Post-Intervention,2024-04,2024-04-27,2024-04-27,2024-04-29,,,,0,Stage3,1,1,0,0
U001044,2024-02-05,Paid_Search,Mobile,East,45-54,Pre-Intervention,2024-02,2024-02-05,2024-02-05,,,,,0,Stage2,1,0,0,0
U001045,2024-05-23,Organic,Mobile,East,35-44,Post-Intervention,2024-05,2024-05-23,2024-05-25,,,,,0,Stage2,1,0,0,0
