user_id,entry_date,segment,device,region,age_group,month,stage1_date,stage2_date,stage3_date,stage4_date,stage5_date,conversion_date,converted,exit_stage,stage2_reached,stage3_reached,stage4_reached,stage5_reached
U001001,2024-03-11,Referral,Desktop,North,55+,2024-03,2024-03-11,,,,,,0,stage1,0,0,0,0
U001002,2024-03-03,Organic,Mobile,North,25-34,2024-03,2024-03-03,2024-03-03,2024-03-04,2024-03-06,2024-03-07,2024-03-09,1,Converted,1,1,1,1
U001005,2024-01-09,Email,Desktop,South,18-24,2024-01,2024-01-09,2024-01-09,2024-01-10,2024-01-10,2024-01-12,2024-01-14,1,Converted,1,1,1,1
U001008,2024-02-20,Referral,Desktop,North,18-24,2024-02,2024-02-20,2024-02-22,2024-02-25,2024-02-27,2024-03-02,2024-03-02,1,Converted,1,1,1,1
U001011,2024-01-02,Referral,Desktop,West,18-24,2024-01,2024-01-02,2024-01-02,2024-01-05,,,,0,stage3,1,1,0,0
U001013,2024-03-12,Referral,Desktop,East,18-24,2024-03,2024-03-12,2024-03-12,,,,,0,stage2,1,0,0,0
U001014,2024-02-25,Referral,Desktop,East,35-44,2024-02,2024-02-25,2024-02-26,2024-02-27,2024-02-27,2024-03-02,2024-03-02,1,Converted,1,1,1,1
U001017,2024-03-08,Social,Desktop,Central,45-54,2024-03,2024-03-08,2024-03-08,,,,,0,stage2,1,0,0,0
U001019,2024-01-21,Social,Mobile,East,25-34,2024-01,2024-01-21,2024-01-23,2024-01-25,2024-01-27,,,0,stage4,1,1,1,0
U001023,2024-02-28,Organic,Desktop,West,25-34,2024-02,2024-02-28,,,,,,0,stage1,0,0,0,0
U001024,2024-03-15,Paid_Search,Desktop,West,35-44,2024-03,2024-03-15,2024-03-15,,,,,0,stage2,1,0,0,0
U001025,2024-02-29,Paid_Search,Mobile,North,35-44,2024-02,2024-02-29,,,,,,0,stage1,0,0,0,0
U001026,2024-01-26,Organic,Mobile,South,35-44,2024-01,2024-01-26,2024-01-27,,,,,0,stage2,1,0,0,0
U001027,2024-03-12,Paid_Search,Tablet,North,25-34,2024-03,2024-03-12,2024-03-13,,,,,0,stage2,1,0,0,0
U001029,2024-02-11,Organic,Mobile,Central,55+,2024-02,2024-02-11,2024-02-12,2024-02-14,2024-02-14,,,0,stage4,1,1,1,0
U001037,2024-03-24,Paid_Search,Tablet,Central,45-54,2024-03,2024-03-24,2024-03-24,2024-03-25,,,,0,stage3,1,1,0,0
U001038,2024-01-09,Paid_Search,Mobile,East,55+,2024-01,2024-01-09,,,,,,0,stage1,0,0,0,0
U001039,2024-03-21,Referral,Mobile,East,55+,2024-03,2024-03-21,2024-03-22,2024-03-24,,,,0,stage3,1,1,0,0
U001040,2024-01-17,Referral,Desktop,West,25-34,2024-01,2024-01-17,2024-01-17,,,,,0,stage2,1,0,0,0
U001042,2024-03-21,Referral,Desktop,West,45-54,2024-03,2024-03-21,2024-03-21,2024-03-24,2024-03-25,2024-03-29,2024-03-31,1,Converted,1,1,1,1
U001044,2024-02-05,Paid_Search,Mobile,East,45-54,2024-02,2024-02-05,2024-02-05,,,,,0,stage2,1,0,0,0
U001046,2024-03-08,Email,Mobile,South,45-54,2024-03,2024-03-08,2024-03-10,2024-03-13,2024-03-14,2024-03-18,,0,stage5,1,1,1,1
U001052,2024-03-05,Referral,Mobile,North,35-44,2024-03,2024-03-05,2024-03-07,,,,,0,stage2,1,0,0,0
