user_id,entry_date,segment,device,region,age_group,month,stage1_date,stage2_date,stage3_date,stage4_date,stage5_date,conversion_date,converted,exit_stage,stage2_reached,stage3_reached,stage4_reached,stage5_reached
U001000,2024-06-12,Paid_Search,Tablet,West,35-44,2024-06,2024-06-12,2024-06-12,2024-06-13,2024-06-15,,,0,stage4,1,1,1,0
U001003,2024-05-19,Organic,Mobile,East,45-54,2024-05,2024-05-19,2024-05-19,2024-05-22,,,,0,stage3,1,1,0,0
U001004,2024-04-18,Organic,Desktop,North,18-24,2024-04,2024-04-18,,,,,,0,stage1,0,0,0,0
U001006,2024-06-03,Email,Mobile,West,25-34,2024-06,2024-06-03,2024-06-03,,,,,0,stage2,1,0,0,0
U001007,2024-05-23,Organic,Tablet,West,55+,2024-05,2024-05-23,,,,,,0,stage1,0,0,0,0
U001009,2024-04-24,Paid_Search,Mobile,East,18-24,2024-04,2024-04-24,,,,,,0,stage1,0,0,0,0
U001010,2024-05-30,Organic,Tablet,West,18-24,2024-05,2024-05-30,2024-05-31,,,,,0,stage2,1,0,0,0
U001012,2024-04-18,Referral,Mobile,North,25-34,2024-04,2024-04-18,2024-04-19,,,,,0,stage2,1,0,0,0
U001015,2024-04-01,Paid_Search,Mobile,Central,25-34,2024-04,2024-04-01,2024-04-02,,,,,0,stage2,1,0,0,0
U001016,2024-06-03,Organic,Mobile,South,18-24,2024-06,2024-06-03,,,,,,0,stage1,0,0,0,0
U001018,2024-04-27,Paid_Search,Desktop,Central,25-34,2024-04,2024-04-27,2024-04-29,2024-04-30,2024-05-01,,,0,stage4,1,1,1,0
U001020,2024-06-07,Paid_Search,Mobile,West,25-34,2024-06,2024-06-07,,,,,,0,stage1,0,0,0,0
U001021,2024-04-02,Email,Mobile,East,25-34,2024-04,2024-04-02,2024-04-04,2024-04-05,,,,0,stage3,1,1,0,0
U001022,2024-06-29,Paid_Search,Mobile,South,55+,2024-06,2024-06-29,2024-06-29,2024-06-30,2024-07-02,,,0,stage4,1,1,1,0
U001028,2024-06-11,Social,Mobile,West,45-54,2024-06,2024-06-11,2024-06-12,,,,,0,stage2,1,0,0,0
