seller_id,seller_state,primary_category,health_score,segment,avg_review_score,on_time_delivery_pct,total_orders,review_sharp_drop,delivery_sharp_drop,orders_sharp_drop,baseline_review,baseline_delivery,baseline_orders,seller_vintage,review_score_change,order_volume_change,delivery_rate_change
002100f778ceb8431b7a1020ff7ab48f,SP,furniture_decor,65.07,At-Risk,3.0,100.0,2,1,0,0,3.84,84.9,6.38,8,-0.5,-1,50.0
00720abe85ba0859807595bbf045a33b,SP,housewares,24.05,Dormant,1.0,0.0,1,1,1,0,3.46,84.38,1.62,8,-4.0,0,-100.0
00ee68308b45bc5e2660cd833c3f81cc,SP,bed_bath_table,47.5,Dormant,4.0,0.0,1,0,1,0,4.41,87.06,11.25,12,0.0,0,-100.0
014c0679dd340a0e338872e7ec85666a,MG,kitchen_dining_laundry_garden_furniture,48.1,Dormant,1.0,100.0,1,1,0,0,3.83,88.89,1.17,12,-4.0,0,0.0
0249d282d911d23cb8b869ab49c99f53,SP,sports_leisure,55.0,Dormant,5.0,0.0,1,0,1,1,4.31,68.75,2.75,4,0.5,-3,-75.0
04308b1ee57b6625f47df1d56f00eedf,SC,health_beauty,65.25,At-Risk,3.75,75.0,16,0,1,0,4.16,93.48,10.44,9,0.27,-11,-21.3
058cb5aeb36d7c0fcae20fc85d5e0a59,RJ,luggage_accessories,48.35,Dormant,2.5,50.0,2,0,1,0,3.53,92.86,1.71,7,-2.5,1,-50.0
062ce95fa2ad4dfaedfc79260130565f,RS,furniture_decor,65.0,At-Risk,3.0,100.0,1,0,0,1,3.58,94.44,6.11,9,0.2,-4,50.0
07bf9669d84d1f11be443a9dd938f698,SP,kitchen_dining_laundry_garden_furniture,54.88,Dormant,1.8,100.0,3,1,0,0,3.51,100.0,1.8,10,-0.53,1,0.0
0bf0150d5b9d60d9cd2906003332f085,SP,furniture_decor,65.0,At-Risk,3.0,100.0,1,0,0,1,3.95,85.39,2.79,14,-0.67,-2,0.0
0d85bbda9889ce1f7e63778d24f346eb,MG,stationery,53.71,Dormant,2.67,66.67,3,1,0,0,4.19,85.77,4.25,12,-2.33,1,66.67
0ef83d7d83ed97cd2a0049ac8be5f88a,PR,health_beauty,67.31,At-Risk,3.33,100.0,3,1,0,0,4.45,99.23,4.8,10,-1.67,2,0.0
11305281b50fff20ae8bb473f8e11876,MG,home_confort,66.79,At-Risk,4.33,66.67,3,0,1,0,4.45,89.1,2.46,13,-0.67,1,-33.33
116ccb1a1604bc88e4d234a8c23f33de,SP,auto,65.85,At-Risk,4.75,50.0,4,0,1,0,4.68,92.67,6.0,10,0.25,-1,-50.0
13074f016982ff2bd6c58ced8682f000,RS,kitchen_dining_laundry_garden_furniture,60.85,At-Risk,2.5,100.0,2,1,0,0,4.16,81.63,2.0,7,-2.5,1,0.0
1336efc61c316ddf92c899eb817f7cae,SP,pet_shop,58.26,Dormant,3.0,75.0,3,1,0,0,4.03,91.01,3.89,19,-1.25,-1,0.0
1354d51653f645349064725ed204e85e,SP,furniture_decor,56.27,Dormant,3.0,66.67,2,0,1,0,4.06,97.22,1.5,12,0.0,0,-33.33
138dbe45fc62f1e244378131a6801526,SP,housewares,65.13,At-Risk,3.3,90.0,10,1,1,1,3.9,95.94,12.25,4,-1.15,-4,-10.0
16090f2ca825584b5a147ab24aa30c86,SP,auto,66.25,At-Risk,3.88,67.5,41,0,1,0,4.15,92.26,20.1,20,-0.17,-24,-26.62
1690cada046eb7e92c12f98b1f8a8167,SP,auto,63.82,At-Risk,4.5,50.0,2,0,1,0,4.38,87.5,2.75,4,-0.5,-1,-50.0
179d859f51292aac5c10806a356f7af9,SP,electronics,65.4,At-Risk,4.67,50.0,6,0,1,0,4.21,83.33,6.0,3,0.37,-4,-50.0
17ca9b9e9b9ef8fdb529001b49ebb50f,MG,bed_bath_table,67.2,At-Risk,3.6,88.89,10,0,1,0,4.03,97.92,8.29,14,-0.45,-7,-11.11
1987cd4be10fe09ee50454f9c354d1c6,MG,pet_shop,24.05,Dormant,1.0,0.0,1,1,1,1,3.8,80.0,2.8,5,-2.5,-1,-100.0
1b1ae47a313a825a7ccceb8e2e30fa9d,PR,sports_leisure,49.6,Dormant,1.0,100.0,2,1,0,0,3.2,100.0,2.2,5,0.0,1,0.0
1b7e5006cb25dd23ce8686691013b121,SP,health_beauty,47.5,Dormant,4.0,0.0,1,0,1,0,4.1,80.95,1.57,7,1.0,0,-100.0
1b8b75e227c9a9c100d0c210fb6176ce,SP,fashion_bags_accessories,44.93,Dormant,1.5,66.67,4,1,1,0,3.11,94.44,2.33,6,-2.5,3,-33.33
1b938a7ec6ac5061a66a3766e0e75f90,SP,baby,67.31,At-Risk,3.33,100.0,3,1,0,0,4.3,98.57,3.0,10,-0.67,2,0.0
1c5e4e49b9079480255b49d50aac1aa9,SP,bed_bath_table,49.05,Dormant,1.0,100.0,1,1,0,0,4.32,100.0,1.09,11,-3.0,0,0.0
1ce3ae5a399804d1a87e706f8a813c3e,SC,furniture_decor,57.01,Dormant,2.0,100.0,3,1,0,0,3.95,92.95,3.08,13,-3.0,2,0.0
1dcfa3835714681d4ba4a93bc1e0fd41,SP,furniture_living_room,49.05,Dormant,1.0,100.0,1,1,0,0,3.44,100.0,2.17,6,0.0,0,0.0
1dfe5347016252a7884b694d4f10f5c4,SP,bed_bath_table,48.29,Dormant,2.0,66.67,2,1,0,0,3.35,74.08,3.33,6,-0.33,0,66.67
2089a6d640999f9b9141ac719b2af596,SP,sports_leisure,46.62,Dormant,1.0,100.0,2,1,0,0,3.75,88.63,2.75,16,-4.0,1,0.0
2138ccb85b11a4ec1e37afbd1c8eda1f,SP,telephony,66.98,At-Risk,3.19,100.0,14,1,0,0,3.88,94.42,19.4,20,-0.71,3,18.18
2646baaf662d4d92ac48f047e35db92d,SP,auto,59.98,At-Risk,4.0,50.0,4,0,1,0,4.53,90.0,3.0,5,-1.0,0,-50.0
26d8a1c7c75d513045798992ead43aa2,PR,perfumery,62.28,At-Risk,3.75,66.67,4,0,1,0,4.32,91.39,3.0,12,-1.0,0,-33.33
26e2c91ef821e1ff8985f408788fe35b,SP,bed_bath_table,49.05,Dormant,1.0,100.0,1,1,0,1,2.67,69.45,2.0,6,-1.0,0,0.0
270297ead4c65a6cd2593960d2af6b21,SP,furniture_decor,56.55,Dormant,2.0,100.0,1,1,0,0,3.91,100.0,1.64,11,-0.67,-2,0.0
271c58a1d139c45eaf3316107c6d3a3b,SP,baby,64.52,At-Risk,3.55,80.0,11,1,1,0,4.28,95.0,7.25,4,-0.78,5,-20.0
272f092de69afedd4d2969440b37f18f,SP,fashion_bags_accessories,44.05,Dormant,1.0,100.0,1,1,0,1,3.5,100.0,2.6,10,-3.33,-2,0.0
28f10b1c5e5abb9d4857745bede6147c,SP,electronics,61.53,At-Risk,3.75,62.5,8,1,1,0,4.15,84.06,5.6,5,-0.75,6,-37.5
2bf6a2c1e71bbd29a4ad64e6d3c3629f,RJ,watches_gifts,67.31,At-Risk,3.33,100.0,3,1,0,0,4.16,91.96,3.75,8,-1.67,0,0.0
2d50d6282f8aa2257819a77bfaa0efe0,SP,bed_bath_table,61.01,At-Risk,4.67,33.33,3,0,1,0,3.5,81.02,3.67,12,1.92,-1,-66.67
2e1a7d075abe038c1b2743005fe42ff1,SP,health_beauty,44.05,Dormant,1.0,100.0,1,1,0,0,3.88,85.94,2.38,8,-4.0,0,0.0
2e1c9f22be269ef4643f826c9e650a52,SP,health_beauty,62.58,At-Risk,3.86,66.67,7,0,1,0,4.18,93.28,11.93,14,-1.14,1,-33.33
2e90cb1677d35cfe24eef47d441b7c87,SP,electronics,61.11,At-Risk,3.8,60.0,5,0,1,0,4.18,88.3,7.47,17,-1.2,2,-40.0
323ce52b5b81df2cd804b017b7f09aa7,SP,stationery,47.5,Dormant,4.0,0.0,1,0,1,0,4.33,72.05,3.5,8,-0.5,-1,-50.0
3340ef1913fb70d28420f6ceb685c339,PR,computers_accessories,66.79,At-Risk,4.33,66.67,3,0,1,0,4.46,92.13,3.56,9,-0.67,2,-33.33
3361277dc30b7cccdb0c286b24219756,PR,pet_shop,49.05,Dormant,1.0,100.0,1,1,0,0,4.38,93.75,1.81,16,-3.0,0,0.0
33ac3e28642ab8bda860a2f693000e78,SP,sports_leisure,64.6,At-Risk,3.0,100.0,2,1,0,0,4.34,100.0,2.0,17,-2.0,1,0.0
3481aa57cd91f9f9d3fa1fa12d9a3bf7,SP,furniture_decor,66.62,At-Risk,3.25,100.0,4,1,0,0,4.3,100.0,3.0,5,-1.75,3,0.0
3586b8580d9c917874e053a1bb37b5ff,SP,stationery,65.0,At-Risk,3.0,100.0,1,1,0,1,4.36,96.43,2.57,14,-1.5,-1,0.0
36890be00bbfc1cdb9a4a38a6af05a69,SP,baby,57.58,Dormant,3.67,50.0,6,1,1,0,4.39,83.33,4.33,3,-0.83,2,-50.0
37515688008a7a40ac93e3b2e4ab203f,SP,consoles_games,40.0,Dormant,3.0,0.0,1,1,1,1,4.06,81.8,17.54,13,-2.0,-2,-100.0
39d54ff918774174706fb065d7f9dc07,SP,auto,62.1,At-Risk,3.0,100.0,2,1,0,0,4.03,81.55,2.88,8,-2.0,0,0.0
3ab971ce71839580d2ae5b4e40fe8044,SP,housewares,64.96,At-Risk,3.55,81.82,10,1,0,0,3.89,90.91,12.0,3,-0.65,-2,-9.09
3b15288545f8928d3e65a8f949a28291,SP,bed_bath_table,56.55,Dormant,2.0,100.0,1,1,0,1,3.87,95.31,5.78,18,-1.0,-3,0.0
3d5d0dc7073a299e31fa718ce1bc00b6,RJ,health_beauty,57.4,Dormant,3.43,57.14,6,1,1,0,4.1,85.71,7.67,3,-0.9,0,-42.86
3fd1e727ba94cfe122d165e176ce7967,SP,sports_leisure,60.07,At-Risk,4.0,50.0,2,0,0,1,3.74,70.5,7.4,5,0.8,-3,10.0
41b39e28db005d9731d9d485a83b4c38,SP,bed_bath_table,47.5,Dormant,4.0,0.0,1,0,1,1,4.02,90.16,9.75,20,1.0,-2,-100.0
42bde9fef835393bb8a8849cb6b7f245,DF,toys,56.55,Dormant,2.0,100.0,1,1,0,1,4.24,88.89,3.89,9,-2.33,-2,0.0
430315b7bb4b6e4b3c978f9dfa9b0558,SP,housewares,65.0,At-Risk,3.0,100.0,1,1,0,0,4.16,98.21,2.86,7,-2.0,-1,0.0
431050a06a317f2b38168dec3dcd2b46,SP,health_beauty,64.6,At-Risk,3.0,100.0,2,1,0,0,4.08,100.0,2.4,5,-2.0,0,0.0
4371b634e0efc0e22b09b52907d9d469,SP,sports_leisure,60.85,At-Risk,2.5,100.0,2,1,0,1,4.44,93.24,7.29,14,-1.7,-1,0.0
44073f8b7e41514de3b7815dd0237f4f,DF,health_beauty,65.0,At-Risk,3.0,100.0,1,0,0,1,3.31,97.14,7.83,18,2.0,0,0.0
45213867cefbf2cd4c6177e10216a951,SP,musical_instruments,49.05,Dormant,1.0,100.0,1,1,0,0,3.52,83.33,1.75,8,-3.33,-2,33.33
45ba18c210d42734ec52c0c1c574e9ee,SP,baby,48.02,Dormant,1.0,100.0,4,1,0,0,3.66,96.53,7.6,5,-3.86,-3,0.0
4677a5437afda5fa7140b927b07be1cc,PR,auto,56.32,Dormant,3.5,50.0,2,1,1,0,4.28,87.5,2.75,4,-1.1,-3,-50.0
49067458c68f7701fd334ce326accbe0,MG,costruction_tools_garden,48.17,Dormant,1.0,100.0,2,1,0,0,3.29,95.0,2.0,8,-1.6,0,0.0
4992e76a42cb3aad7a7047e0d3d7e729,SP,housewares,62.48,At-Risk,3.5,75.0,4,0,1,0,3.88,93.01,3.56,16,-0.3,0,-25.0
4a1f694197d05fe70026b016a7316b41,SP,furniture_decor,66.79,At-Risk,4.33,66.67,3,0,1,0,4.63,93.33,2.8,5,-0.67,2,-33.33
4b5f66b7adcf57f1ecc0d3c07dd6b177,PR,computers_accessories,65.0,At-Risk,3.0,100.0,1,1,0,0,4.16,97.92,1.92,12,-2.0,0,0.0
4bf2f4ee540798a61f9636d12cd9cc80,SP,fashion_underwear_beach,65.0,At-Risk,3.0,100.0,1,1,0,0,4.21,98.75,2.9,10,-0.67,-2,0.0
4c498c7345e89aebad651544829beca0,SP,health_beauty,64.11,At-Risk,4.2,60.0,5,0,1,0,4.23,86.3,5.33,9,-0.3,1,-15.0
4e922959ae960d389249c378d1c939f5,SP,computers_accessories,65.91,At-Risk,3.5,87.5,8,1,0,1,3.88,90.27,20.2,20,-0.5,0,0.0
4ebdc7e6cd6102a022dadc49156d4ea8,SP,furniture_decor,48.1,Dormant,1.0,100.0,1,1,0,0,3.81,93.75,1.44,16,-3.0,0,0.0
5058e8c1e82653974541e83690655b4a,SP,office_furniture,48.1,Dormant,1.0,100.0,1,1,0,1,2.76,87.87,5.73,11,-3.0,-4,50.0
52f0fe436a347ddad7ed5f9aa4e27eaa,SP,computers_accessories,61.15,At-Risk,3.0,85.71,5,1,0,0,3.8,83.14,3.8,5,0.0,-1,5.71
52f9db5cfb423382a2fa5c9e39303202,SP,home_appliances,49.05,Dormant,1.0,100.0,1,1,0,1,3.64,100.0,2.44,9,-3.75,-2,0.0
