seller_id,seller_state,primary_category,seller_vintage,first_active_month,last_active_month,sale_year,sale_month,total_orders,total_revenue,avg_review_score,on_time_delivery_pct,cancellation_pct,pct_low_reviews,category_count,review_score_change,order_volume_change,delivery_rate_change,health_score,segment,review_sharp_drop,delivery_sharp_drop,orders_sharp_drop,early_warning_flag,baseline_review,baseline_delivery,baseline_orders,baseline_revenue,order_volume_norm,review_score_norm,delivery_norm
001cca7ae9ae17fb1caed9dfb1094831,ES,garden_tools,17,2017-02,2018-07,2018,7,1,166.04,5.0,100.0,0.0,0.0,1,0.0,-1,0.0,80.0,Star Performer,0,0,1,1,3.94,94.27,11.76,1996.13,0.0,100.0,100.0
002100f778ceb8431b7a1020ff7ab48f,SP,furniture_decor,8,2017-09,2018-04,2018,4,2,141.1,3.0,100.0,0.0,0.0,1,-0.5,-1,50.0,65.07,At-Risk,1,0,0,1,3.84,84.9,6.38,257.61,0.3703703703703704,50.0,100.0
004c9cd9d87a3c30c522c48c4fc07416,SP,bed_bath_table,17,2017-01,2018-05,2018,5,1,188.1,5.0,100.0,0.0,0.0,1,2.0,-3,0.0,80.0,Star Performer,0,0,1,1,4.14,91.62,8.65,1279.44,0.0,100.0,100.0
00720abe85ba0859807595bbf045a33b,SP,housewares,8,2018-01,2018-08,2018,8,1,141.67,1.0,0.0,0.0,100.0,1,-4.0,0,-100.0,24.05,Dormant,1,1,0,1,3.46,84.38,1.62,165.44,0.0,0.0,0.0
00ee68308b45bc5e2660cd833c3f81cc,SP,bed_bath_table,12,2017-09,2018-08,2018,8,1,231.92,4.0,0.0,0.0,0.0,1,0.0,0,-100.0,47.5,Dormant,0,1,0,1,4.41,87.06,11.25,1961.46,0.0,75.0,0.0
00fc707aaaad2d31347cf883cd2dfe10,PR,computers_accessories,6,2018-01,2018-06,2018,6,2,236.67,4.0,100.0,0.0,0.0,1,0.0,1,100.0,72.57,Stable,0,0,0,0,4.23,82.55,17.17,2634.45,0.3703703703703704,75.0,100.0
013900e863eace745d3ec7614cab5b1a,PR,fashion_shoes,7,2017-03,2018-04,2018,4,2,230.28,5.0,100.0,0.0,0.0,1,0.67,-4,0.0,80.07,Star Performer,0,0,0,0,4.82,100.0,3.29,298.48,0.3703703703703704,100.0,100.0
014c0679dd340a0e338872e7ec85666a,MG,kitchen_dining_laundry_garden_furniture,12,2017-01,2018-07,2018,7,1,737.36,1.0,100.0,0.0,200.0,1,-4.0,0,0.0,48.1,Dormant,1,0,0,1,3.83,88.89,1.17,640.53,0.0,0.0,100.0
014d9a685fd57276679edd00e07089e5,PR,stationery,5,2017-11,2018-08,2018,8,3,310.0,4.67,100.0,0.0,0.0,1,-0.33,1,0.0,77.67,Stable,0,0,0,0,3.08,100.0,2.2,175.36,0.7407407407407408,91.75,100.0
0176f73cc1195f367f7b32db1e5b3aa8,SP,bed_bath_table,9,2017-11,2018-08,2018,8,2,325.19,4.0,100.0,0.0,0.0,1,-0.71,-5,0.0,72.57,Stable,0,0,1,1,3.99,90.74,4.22,668.9,0.3703703703703704,75.0,100.0
01bcc9d254a0143f0ce9791b960b2a47,GO,health_beauty,5,2017-08,2018-02,2018,2,1,183.5,5.0,100.0,0.0,0.0,1,1.0,0,0.0,80.0,Star Performer,0,0,0,0,4.54,100.0,2.2,359.77,0.0,100.0,100.0
01cf7e3d21494c41fb86034f2e714fa1,PR,air_conditioning,9,2017-01,2018-02,2018,2,5,1342.73,3.8,100.0,0.0,20.0,1,-0.2,-4,0.0,71.11,Stable,1,0,0,1,4.27,97.84,6.44,1196.06,1.4814814814814816,70.0,100.0
01fd077212124329bac32490e8ef80d9,SP,health_beauty,5,2018-04,2018-08,2018,8,11,651.78,4.85,100.0,0.0,0.0,4,1.28,5,0.0,79.62,Star Performer,0,0,0,0,4.19,97.14,6.2,356.67,3.7037037037037033,96.24999999999999,100.0
01fdefa7697d26ad920e9e0346d4bd1b,PR,health_beauty,17,2017-04,2018-08,2018,8,17,2240.37,4.47,94.12,0.0,5.88,1,0.47,10,8.41,75.68,Stable,0,0,0,0,4.34,93.32,7.59,1040.59,5.9259259259259265,86.75,94.12
0241d4d5d36f10f80c644447315af0bd,PR,furniture_decor,11,2017-10,2018-08,2018,8,26,3924.49,4.33,96.3,0.0,11.54,1,-0.23,-10,-0.92,75.79,Stable,0,0,0,0,4.18,94.78,21.64,3497.95,9.25925925925926,83.25,96.3
0249d282d911d23cb8b869ab49c99f53,SP,sports_leisure,4,2017-09,2018-03,2018,3,1,34.79,5.0,0.0,0.0,0.0,1,0.5,-3,-75.0,55.0,Dormant,0,1,1,1,4.31,68.75,2.75,132.97,0.0,100.0,0.0
02c988090b766852e088c69d7fb3b551,SP,signaling_and_security,12,2017-07,2018-08,2018,8,1,183.12,5.0,100.0,0.0,0.0,1,1.0,0,0.0,80.0,Star Performer,0,0,0,0,4.58,100.0,1.08,153.08,0.0,100.0,100.0
02d35243ea2e497335cd0f076b45675d,RN,furniture_decor,8,2017-04,2018-08,2018,8,1,303.46,1.0,100.0,0.0,100.0,1,0.0,0,100.0,49.05,Dormant,0,0,0,0,2.08,63.12,1.75,799.99,0.0,0.0,100.0
02dcd3e8e25bee036e32512bcf175493,MG,stationery,6,2017-10,2018-08,2018,8,3,405.8,5.0,100.0,0.0,0.0,1,0.0,2,0.0,80.15,Star Performer,0,0,0,0,3.53,71.67,2.33,331.11,0.7407407407407408,100.0,100.0
02ecc2a19303f05e59ce133fd923fff7,SP,garden_tools,11,2017-06,2018-08,2018,8,1,141.25,5.0,100.0,0.0,0.0,1,0.0,-1,0.0,80.0,Star Performer,0,0,0,0,4.68,100.0,1.91,522.04,0.0,100.0,100.0
02f5837340d7eb4f653d676c7256523a,PR,luggage_accessories,8,2017-11,2018-08,2018,8,1,138.1,5.0,100.0,0.0,0.0,1,0.0,0,0.0,80.0,Star Performer,0,0,0,0,4.48,87.5,3.75,557.98,0.0,100.0,100.0
02f623a8eb246f3c5f7c2f96462654e6,SP,sports_leisure,5,2018-04,2018-08,2018,8,14,2429.09,4.46,85.71,0.0,7.14,1,-0.14,-1,-0.96,73.27,Stable,0,1,0,1,4.47,94.48,8.8,1441.53,4.814814814814815,86.5,85.71
0417b067eeab773d2f7061a726dc477f,SC,auto,5,2018-03,2018-08,2018,8,3,1129.25,3.33,100.0,0.0,33.33,1,-1.67,2,100.0,67.31,At-Risk,0,0,0,0,4.22,65.0,2.6,500.35,0.7407407407407408,58.25,100.0
04308b1ee57b6625f47df1d56f00eedf,SC,health_beauty,9,2017-11,2018-08,2018,8,16,9026.74,3.75,75.0,0.0,25.0,1,0.27,-11,-21.3,65.25,At-Risk,0,1,0,1,4.16,93.48,10.44,7020.55,5.555555555555555,68.75,75.0
0432ead42b6c8a0bdf68154add917fdf,SP,toys,14,2017-04,2018-07,2018,7,1,43.41,5.0,100.0,0.0,0.0,1,1.0,0,0.0,80.0,Star Performer,0,0,1,1,4.37,94.82,6.07,642.83,0.0,100.0,100.0
048c2757535328e0d7dac690ad3c0aae,SP,fashion_shoes,17,2017-03,2018-08,2018,8,2,534.44,4.5,100.0,0.0,0.0,1,-0.5,-1,0.0,76.32,Stable,0,0,0,0,4.32,88.53,3.0,620.65,0.3703703703703704,87.5,100.0
04aa0a1c5ce6b222003403a3e11c3cc0,SP,auto,7,2017-03,2018-01,2018,1,1,207.02,4.0,100.0,0.0,0.0,1,1.29,-3,14.29,72.5,Stable,0,0,0,0,3.84,83.67,1.57,905.64,0.0,75.0,100.0
04aba03279157f6d4e0fe8ccaf21963c,RJ,health_beauty,11,2017-05,2018-08,2018,8,1,236.46,5.0,100.0,0.0,0.0,1,4.0,0,0.0,80.0,Star Performer,0,0,0,0,4.36,95.45,1.45,265.67,0.0,100.0,100.0
04e38a233f726ef161074ab1c9b0399a,SP,sports_leisure,7,2017-09,2018-05,2018,5,1,46.19,5.0,100.0,0.0,0.0,1,1.67,-2,0.0,80.0,Star Performer,0,0,0,0,4.03,93.57,3.29,258.75,0.0,100.0,100.0
04fdea0c111866e6cf812f1570d6b5bd,SP,computers_accessories,4,2017-10,2018-01,2018,1,6,692.68,3.17,100.0,16.67,16.67,1,1.67,4,50.0,65.65,At-Risk,0,0,0,0,3.67,87.5,2.5,315.49,1.8518518518518516,54.25,100.0
0509040ea3fe50071181bbc359eb7738,MG,sports_leisure,16,2017-05,2018-08,2018,8,1,70.38,5.0,100.0,0.0,0.0,1,0.5,-1,0.0,80.0,Star Performer,0,0,0,0,4.42,96.56,5.56,323.94,0.0,100.0,100.0
054694fa03fe82cec4b7551487331d74,SP,small_appliances,10,2017-01,2018-04,2018,4,1,636.31,5.0,100.0,0.0,0.0,1,2.0,-2,66.67,80.0,Star Performer,0,0,0,0,3.07,63.33,2.1,1070.38,0.0,100.0,100.0
056b4ada5bbc2c50cc7842547dda6b51,RJ,watches_gifts,9,2017-12,2018-08,2018,8,10,2453.26,4.1,90.0,0.0,10.0,2,0.19,-2,6.67,71.32,Stable,0,0,0,0,4.01,85.34,7.22,1515.49,3.3333333333333335,77.49999999999999,90.0
