model_id,year,country,model_price,price_zone,units_sold,total_revenue,revenue_type,revenue_per_unit,profit,profit_per_unit,profit_margin_pct,profit_margin_type,net_profit_usd,local_manufacturing_cost_usd,marketing_expense_usd,warranty_cost_usd,operating_expense_usd,model_performance
TataModel_30,2015,India,12172.15,1,5510,276182003.19,High,50123.78,25243035.09,4581.31,9.14,Low,-23144051.87,19893.59,4785.14,5022.58,84438.38,Underperformer
TataModel_30,2016,India,12172.15,1,6692,142767280.77,High,21334.02,15019117.94,2244.34,10.52,Low,-1099308.06,9171.31,3681.34,1907.44,18128.41,Underperformer
TataModel_30,2017,India,12172.15,1,4338,282338374.39,High,65084.92,63130860.51,14552.99,22.36,High,46359961.08,15226.01,12126.89,2349.72,63152.89,Star
TataModel_30,2018,India,12172.15,1,4711,215669898.36,High,45780.07,46670966,9906.81,21.64,High,32070113.89,10309.39,10369.35,6882.24,17005.3,Star
TataModel_30,2019,India,12172.15,1,2255,75706931.32,Low,33572.92,22015575.63,9763,29.08,High,12650628.22,6094.84,12468.89,2763.58,83044.61,Niche
TataModel_30,2020,India,12172.15,1,6710,354642726.61,High,52852.87,63445583.79,9455.38,17.89,High,44968697.73,18706.26,5259.21,4371.28,84706.25,Star
TataModel_30,2021,India,12172.15,1,5439,201553504.95,High,37057.09,48695326.8,8952.99,24.16,High,23682536.83,19913.38,5700.31,4835.83,88506.18,Star
TataModel_30,2022,India,12172.15,1,5918,222695202.79,High,37630.15,43470103.59,7345.4,19.52,High,28660872.6,4444.74,14462.61,1004.02,32066.88,Star
TataModel_30,2023,India,12172.15,1,2514,135624524.2,High,53947.7,22527233.47,8960.71,16.61,High,12911454.7,4655.51,6657.9,7356.93,67733.45,Star
TataModel_30,2024,India,12172.15,1,4265,243380099.98,High,57064.5,30836258.67,7230.07,12.67,Low,4210475.73,3954.79,3972.6,3817.57,52617.87,Underperformer
TataModel_30,2015,USA,12172.15,1,2749,187381161.56,High,68163.39,29268937.44,10647.12,15.62,High,11092964.76,8699.98,1985.11,6797.36,63500.68,Star
TataModel_30,2016,USA,12172.15,1,878,25669861.68,Low,29236.74,3940323.77,4487.84,15.35,High,-1144875.83,19118.94,1532.92,1151.19,80696.74,Niche
TataModel_30,2017,USA,12172.15,1,6907,44952028.87,Low,6508.18,9219661.12,1334.83,20.51,High,6019076.67,22756.66,7919.45,7345.36,83517.93,Niche
TataModel_30,2018,USA,12172.15,1,5153,275259242.89,High,53417.28,56318041.1,10929.18,20.46,High,24773331.86,12932.32,13028.77,1547.03,66070.05,Star
TataModel_30,2019,USA,12172.15,1,4519,211178850.3,High,46731.32,16936543.79,3747.85,8.02,Low,-7539084.96,12040.35,3259.99,6351.68,84715.79,Underperformer
TataModel_30,2020,USA,12172.15,1,455,31196003.24,Low,68562.64,7015981.13,15419.74,22.49,High,3107121.92,16907.61,5848.77,2335.71,19768.54,Niche
TataModel_30,2021,USA,12172.15,1,5156,314056968.9,High,60910.97,41047245.84,7961.06,13.07,Low,1884341.81,24564.52,10580.05,4826.51,48794.22,Underperformer
TataModel_30,2022,USA,12172.15,1,2500,140819519.84,High,56327.81,13898886.61,5559.55,9.87,Low,4787863.67,7673.2,1917.41,7916.14,58126.2,Underperformer
TataModel_30,2023,USA,12172.15,1,2590,27603695.78,Low,10657.8,2026111.27,782.28,7.34,Low,416815.81,14423.21,7637.65,500.47,74001.01,Weak
TataModel_30,2024,USA,12172.15,1,6793,356929224.21,High,52543.68,19809571.94,2916.17,5.55,Low,-36835095.94,20613.8,13432.42,4741.3,37131.41,Underperformer
TataModel_30,2015,UK,12172.15,1,6478,321976416.22,High,49703.06,16903761.85,2609.41,5.25,Low,-10206652.39,18763.53,2708.35,5336.88,54831.73,Underperformer
TataModel_30,2016,UK,12172.15,1,2923,149433239.13,High,51123.24,11864999.19,4059.19,7.94,Low,-6052046.18,12960.59,7703.35,7279.55,63390.1,Underperformer
TataModel_30,2017,UK,12172.15,1,4885,51170809.24,Low,10475.09,6539629.42,1338.72,12.78,Low,-644752.2,14687.21,5405.31,2757.46,29318.25,Weak
TataModel_30,2018,UK,12172.15,1,1910,108078735.25,Low,56585.73,14255585.18,7463.66,13.19,Low,2464195.16,17546.31,11342.81,3600.2,39758.45,Weak
TataModel_30,2019,UK,12172.15,1,5012,26558932.45,Low,5299.07,4515018.52,900.84,17,High,2369056.77,14071.11,2461.2,5332.4,34925.3,Niche
TataModel_30,2020,UK,12172.15,1,253,15506535.14,Low,61290.65,3326151.79,13146.85,21.45,High,423328.41,14478.23,3801.09,2056.55,20541.27,Niche
TataModel_30,2021,UK,12172.15,1,5326,130827044.16,Low,24563.85,24987965.43,4691.69,19.1,High,11722103.16,16996.69,9014.92,5173.66,57373.08,Niche
TataModel_30,2022,UK,12172.15,1,5176,308938161.36,High,59686.66,68985891.43,13328.03,22.33,High,25456504.5,11791.71,3061.61,4817.4,42155.97,Star
TataModel_30,2023,UK,12172.15,1,3780,158548493.07,High,41944.05,44139900.47,11677.22,27.84,High,31884101.96,21757.32,3050.72,2484.07,69465.02,Star
TataModel_30,2024,UK,12172.15,1,3893,116333793.51,Low,29882.81,7573329.96,1945.37,6.51,Low,895770.21,9800.28,13521.51,5522.45,65275.79,Weak
TataModel_30,2015,Germany,12172.15,1,613,21869204.94,Low,35675.7,3934269.97,6418.06,17.99,High,1780153.28,5248.51,13900.65,6818.12,49380.34,Niche
TataModel_30,2016,Germany,12172.15,1,737,4474348.3,Low,6071.03,1264898.26,1716.28,28.27,High,540501.27,21135.77,9566.41,3894.42,57929.59,Niche
TataModel_30,2017,Germany,12172.15,1,497,28519302.53,Low,57382.9,1967831.87,3959.42,6.9,Low,273785.3,14831.81,14325.67,2152.67,24539.88,Weak
TataModel_30,2018,Germany,12172.15,1,2762,87220737.31,Low,31578.83,6297337.23,2279.99,7.22,Low,-610545.16,24562.97,2902.48,4412.43,31540.93,Weak
TataModel_30,2019,Germany,12172.15,1,2089,56137419.72,Low,26872.87,11929201.69,5710.48,21.25,High,8527274.06,13306.11,10484.87,6502.93,51041.27,Niche
TataModel_30,2020,Germany,12172.15,1,1828,108490887.72,Low,59349.5,26005265.79,14226.08,23.97,High,13485417.34,5272.97,9323.94,3251.99,68905.27,Niche
