car_model,salesperson_id,age_group,customer_gender,customer_income_group,customer_residence_type,is_first_time_buyer,loyalty_program_member,discount_reason,feedback_score,car_type,car_img_url,fuel_type,transmission,safety_rating,seating_capacity
TataModel_25,371,"Mature Adults",Male,High,Urban,FALSE,FALSE,Clearance,7.82,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_25.jpg,Petrol,CVT,4.8,7-Seater
TataModel_32,179,"Senior Adults",Female,Low,Rural,FALSE,TRUE,"New Model Launch",2.68,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_32.jpg,Electric,Automatic,4.7,7-Seater
TataModel_24,208,"Mature Adults",Female,High,Rural,TRUE,TRUE,"New Model Launch",4.19,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_24.jpg,Hybrid,Manual,4.7,5-Seater
TataModel_10,639,"Senior Adults",Male,Medium,Urban,TRUE,FALSE,"No Discount",8.65,Pickup,https://cdn.cars.tatamotors.com/images/pickup/tatamodel_10.jpg,Hybrid,Automatic,3.9,8-Seater
TataModel_7,739,"Early Mid-Age",Male,Medium,Suburban,TRUE,FALSE,"No Discount",2.67,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_7.jpg,Hybrid,CVT,3.9,7-Seater
TataModel_35,522,"Senior Adults",Male,Low,Urban,TRUE,TRUE,Festival,5.06,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_35.jpg,Electric,Automatic,2.7,4-Seater
TataModel_18,52,"Young Adults",Female,Low,Suburban,FALSE,FALSE,Festival,1.75,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_18.jpg,Diesel,Automatic,4.2,7-Seater
TataModel_8,567,"Early Mid-Age",Female,Low,Rural,TRUE,FALSE,"No Discount",7.93,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_8.jpg,Electric,CVT,4.8,7-Seater
TataModel_17,309,"Young Adults",Female,Low,Urban,TRUE,FALSE,"No Discount",2.14,Coupe,https://cdn.cars.tatamotors.com/images/coupe/tatamodel_17.jpg,Hybrid,Manual,4.4,5-Seater
TataModel_44,331,"Young Adults",Female,Low,Suburban,TRUE,FALSE,"New Model Launch",8.01,Hatchback,https://cdn.cars.tatamotors.com/images/hatchback/tatamodel_44.jpg,Electric,Automatic,4.6,5-Seater
TataModel_24,896,"Mature Adults",Other,High,Suburban,FALSE,TRUE,Clearance,2.1,Sedan,https://cdn.cars.tatamotors.com/images/sedan/tatamodel_24.jpg,Hybrid,Manual,4.7,5-Seater
