finance_id,model_id,year,country,units_sold,total_revenue,profit,min_price,max_price,revenue_per_unit,average_profit_margin_pct,tax_rate_pct,import_duty_usd,local_manufacturing_cost_usd,marketing_expense_usd,r_and_d_expense_usd,warranty_cost_usd,dealer_commission_pct,currency,exchange_rate_to_usd,net_profit_usd,gross_margin_usd,operating_expense_usd,net_revenue_usd,tax_paid_usd,interest_expense_usd,cash_flow_usd,capital_expenditure_usd,depreciation_usd,amortization_usd,ebitda_usd,ebit_usd,net_income_usd,dividend_usd,shares_outstanding
1,TataModel_1,2015,India,643,35952914.46,5479224.16,15883.85,50321.79,55914.33,15.24,11.50,253.46,15901.80,9626.16,15619.41,1563.37,9.08,GBP,0.93,1344639.00,35936759.20,99458.32,35853456.14,4134585.16,3293.70,73417.97,53563.09,10216.53,4897.15,35868569.82,35865276.12,31730690.96,4148.50,3823430.00
2,TataModel_1,2016,India,3044,209494486.35,39447811.78,11801.97,47585.71,68822.10,18.83,16.34,868.30,15367.48,2718.16,8556.38,1098.61,3.90,INR,1.30,5216412.71,209478250.57,80347.84,209414138.51,34231399.07,6484.64,105528.28,25137.18,8555.60,4576.06,209427270.17,209420785.53,175189386.46,1758.15,3418222.00
3,TataModel_1,2017,India,2018,118562462.21,17191557.02,13663.05,53369.41,58752.46,14.50,15.33,578.44,5346.00,14683.16,2576.56,2587.29,5.49,JPY,0.73,-984068.44,118556537.77,75073.15,118487389.06,18175625.46,10871.65,48936.72,21902.00,4280.79,5946.75,118497616.60,118486744.95,100311119.49,1661.57,3059741.00
4,TataModel_1,2018,India,2406,149707863.59,38040768.14,13280.79,67619.91,62222.72,25.41,19.12,1112.08,19747.63,2132.29,7501.71,3094.24,9.45,JPY,1.06,9416624.62,149687003.88,49498.03,149658365.56,28624143.52,12025.80,70143.33,7857.05,8800.91,7870.91,149675037.38,149663011.58,121038868.06,3561.33,1714073.00
5,TataModel_1,2019,India,1544,92890877.50,16515998.02,16591.58,71702.50,60162.49,17.78,16.02,691.10,14155.22,8780.47,6965.48,2489.52,3.41,INR,1.01,1634879.44,92876031.18,80597.46,92810280.04,14881118.58,11033.21,109312.33,51384.85,10062.76,7322.81,92827665.61,92816632.40,77935513.82,4245.92,4808363.00
6,TataModel_1,2020,India,3092,120446910.01,16368735.07,14320.66,45920.19,38954.37,13.59,6.07,1087.66,21298.17,2520.69,3488.76,575.05,3.72,JPY,0.56,9057607.63,120424524.18,43657.93,120403252.08,7311127.44,6038.51,98314.48,55713.61,8479.10,2863.34,120414594.52,120408556.01,113097428.57,1382.46,1617474.00
7,TataModel_1,2021,India,2913,108019678.58,29078897.47,13683.24,22303.92,37081.94,26.92,10.20,589.25,21828.73,2547.41,4699.62,4461.69,3.33,JPY,1.43,18060890.26,107997260.60,60657.38,107959021.20,11018007.21,5894.50,45742.04,58285.64,8269.06,6407.19,107973697.45,107967802.95,96949795.73,1051.92,4723834.00
8,TataModel_1,2022,India,326,12135287.34,2543556.23,11728.27,29636.64,37224.81,20.96,6.19,1170.84,13291.54,12484.85,5272.82,5139.62,7.93,INR,1.18,1792381.94,12120824.96,71699.49,12063587.85,751174.29,4239.70,113126.79,57125.95,3191.07,7870.70,12074649.62,12070409.92,11319235.63,3016.01,3496250.00
9,TataModel_1,2023,India,3418,238644578.90,48683494.10,8799.86,40383.78,69819.95,20.40,9.70,708.53,24770.97,7270.67,2479.39,3493.58,8.25,EUR,0.63,25534969.94,238619099.40,60532.41,238584046.49,23148524.15,7500.50,48827.67,33958.71,8483.02,2683.92,238595213.43,238587712.93,215439188.77,1484.67,1330837.00
10,TataModel_1,2024,India,5088,150956034.07,25058701.66,11488.06,21111.24,29669.03,16.60,5.25,1295.48,3184.82,12273.12,5019.03,1360.94,9.99,JPY,0.76,17133509.87,150951553.77,98872.73,150857161.34,7925191.79,2081.21,75264.63,31800.08,3228.73,2433.67,150862823.74,150860742.53,142935550.74,2806.10,4018118.00
